Countries,Region,RegionImage
Czech Republic,Usti nad Labem,file:///storage/sdcard0/Memento/Regions Image/Czech Republic - Usti nad Labem.png
Czech Republic,Vysocina,file:///storage/sdcard0/Memento/Regions Image/Czech Republic - Vysocina.png
Denmark,Capital,file:///storage/sdcard0/Memento/Regions Image/Denmark - Capital.png
Denmark,Central Jutland,file:///storage/sdcard0/Memento/Regions Image/Denmark - Central Jutland.png
Denmark,North Jutland,file:///storage/sdcard0/Memento/Regions Image/Denmark - North Jutland.png
Denmark,Nyborg,file:///storage/sdcard0/Memento/Regions Image/Denmark - Nyborg.png
Denmark,Odense,file:///storage/sdcard0/Memento/Regions Image/Denmark - Odense.png
Denmark,Skåne,file:///storage/sdcard0/Memento/Regions Image/Denmark - Skåne.png
Denmark,South Jutland,file:///storage/sdcard0/Memento/Regions Image/Denmark - South Jutland.png
Denmark,Zealand,file:///storage/sdcard0/Memento/Regions Image/Denmark - Zealand.png
England,Bedfordshire,file:///storage/sdcard0/Memento/Regions Image/England - Bedfordshire.png
England,Berkshire,file:///storage/sdcard0/Memento/Regions Image/England - Berkshire.png
England,Buckinghamshire,file:///storage/sdcard0/Memento/Regions Image/England - Buckinghamshire.png
England,Cambridgeshire,file:///storage/sdcard0/Memento/Regions Image/England - Cambridgeshire.png
England,Cheshire,file:///storage/sdcard0/Memento/Regions Image/England - Cheshire.png
England,Cornwall,file:///storage/sdcard0/Memento/Regions Image/England - Cornwall.png
England,Cumberland,file:///storage/sdcard0/Memento/Regions Image/England - Cumberland.png
England,Derbyshire,file:///storage/sdcard0/Memento/Regions Image/England - Derbyshire.png
England,Devon,file:///storage/sdcard0/Memento/Regions Image/England - Devon.png
England,Dorset,file:///storage/sdcard0/Memento/Regions Image/England - Dorset.png
England,Durham,file:///storage/sdcard0/Memento/Regions Image/England - Durham.png
England,Essex,file:///storage/sdcard0/Memento/Regions Image/England - Essex.png
England,Gloucestershire,file:///storage/sdcard0/Memento/Regions Image/England - Gloucestershire.png
England,Guernsey,file:///storage/sdcard0/Memento/Regions Image/England - Guernsey.png
England,Hampshire,file:///storage/sdcard0/Memento/Regions Image/England - Hampshire.png
England,Herefordshire,file:///storage/sdcard0/Memento/Regions Image/England - Herefordshire.png
England,Hertfordshire,file:///storage/sdcard0/Memento/Regions Image/England - Hertfordshire.png
England,Isle of Wight,file:///storage/sdcard0/Memento/Regions Image/England - Isle of Wight.png
England,Jersey,file:///storage/sdcard0/Memento/Regions Image/England - Jersey.png
England,Kent,file:///storage/sdcard0/Memento/Regions Image/England - Kent.png
England,Lancashire,file:///storage/sdcard0/Memento/Regions Image/England - Lancashire.png
England,Leicestershire,file:///storage/sdcard0/Memento/Regions Image/England - Leicestershire.png
England,Lincolnshire,file:///storage/sdcard0/Memento/Regions Image/England - Lincolnshire.png
England,London,file:///storage/sdcard0/Memento/Regions Image/England - London.png
England,Middlesex,file:///storage/sdcard0/Memento/Regions Image/England - Middlesex.png
England,Norfolk,file:///storage/sdcard0/Memento/Regions Image/England - Norfolk.png
England,Northamptonshire,file:///storage/sdcard0/Memento/Regions Image/England - Northamptonshire.png
England,Northumberland,file:///storage/sdcard0/Memento/Regions Image/England - Northumberland.png
England,Nottinghamshire,file:///storage/sdcard0/Memento/Regions Image/England - Nottinghamshire.png
England,Oxfordshire,file:///storage/sdcard0/Memento/Regions Image/England - Oxfordshire.png
England,Rutland,file:///storage/sdcard0/Memento/Regions Image/England - Rutland.png
England,Shropshire,file:///storage/sdcard0/Memento/Regions Image/England - Shropshire.png
England,Somerset,file:///storage/sdcard0/Memento/Regions Image/England - Somerset.png
England,Staffordshire,file:///storage/sdcard0/Memento/Regions Image/England - Staffordshire.png
England,Suffolk,file:///storage/sdcard0/Memento/Regions Image/England - Suffolk.png
England,Surrey,file:///storage/sdcard0/Memento/Regions Image/England - Surrey.png
England,Sussex,file:///storage/sdcard0/Memento/Regions Image/England - Sussex.png
England,Unknown Eng,file:///storage/sdcard0/Memento/Regions Image/England - Unknown Eng.png
England,Warwickshire,file:///storage/sdcard0/Memento/Regions Image/England - Warwickshire.png
England,Westmorland,file:///storage/sdcard0/Memento/Regions Image/England - Westmorland.png
England,Wiltshire,file:///storage/sdcard0/Memento/Regions Image/England - Wiltshire.png
England,Worcestershire,file:///storage/sdcard0/Memento/Regions Image/England - Worcestershire.png
England,Yorkshire,file:///storage/sdcard0/Memento/Regions Image/England - Yorkshire.png
Estonia,Harju,file:///storage/sdcard0/Memento/Regions Image/Estonia - Harju.png
Estonia,Ida-Viru,file:///storage/sdcard0/Memento/Regions Image/Estonia - Ida-Viru.png
Estonia,Laane-Viru,file:///storage/sdcard0/Memento/Regions Image/Estonia - Laane-Viru.png
Estonia,Tartu,file:///storage/sdcard0/Memento/Regions Image/Estonia - Tartu.png
Ethiopia,Amhara,file:///storage/sdcard0/Memento/Regions Image/Ethiopia - Amhara.png
Finland,Lapland,file:///storage/sdcard0/Memento/Regions Image/Finland - Lapland.png
Finland,Northern Savonia,file:///storage/sdcard0/Memento/Regions Image/Finland - Northern Savonia.png
Finland,Southern Savonia,file:///storage/sdcard0/Memento/Regions Image/Finland - Southern Savonia.png
Finland,Uusimaa,file:///storage/sdcard0/Memento/Regions Image/Finland - Uusimaa.png
France,Alsace,file:///storage/sdcard0/Memento/Regions Image/France - Alsace.png
France,Île-de-France,file:///storage/sdcard0/Memento/Regions Image/France - Île-de-France.png
France,Corsica,file:///storage/sdcard0/Memento/Regions Image/France - Corsica.png
France,Languedoc-Roussillon,file:///storage/sdcard0/Memento/Regions Image/France - Languedoc-Roussillon.png
France,Lorraine,file:///storage/sdcard0/Memento/Regions Image/France - Lorraine.png
France,Nord-Pas-de-Calais,file:///storage/sdcard0/Memento/Regions Image/France - Nord-Pas-de-Calais.png
France,Picardie,file:///storage/sdcard0/Memento/Regions Image/France - Picardie.png
French Polynesia,Tahiti,file:///storage/sdcard0/Memento/Regions Image/French Polynesia - Tahiti.png
Germany,Anon Germany,file:///storage/sdcard0/Memento/Regions Image/Germany - Anon Germany.png
Germany,Baden Wurttemberg,file:///storage/sdcard0/Memento/Regions Image/Germany - Baden Wurttemberg.png
Germany,Bayern,file:///storage/sdcard0/Memento/Regions Image/Germany - Bayern.png
Germany,Berlin,file:///storage/sdcard0/Memento/Regions Image/Germany - Berlin.png
Germany,Bremen,file:///storage/sdcard0/Memento/Regions Image/Germany - Bremen.png
Germany,Hamburg,file:///storage/sdcard0/Memento/Regions Image/Germany - Hamburg.png
Germany,Hessen,file:///storage/sdcard0/Memento/Regions Image/Germany - Hessen.png
Germany,Niedersachsen,file:///storage/sdcard0/Memento/Regions Image/Germany - Niedersachsen.png
Germany,Nordrhein-Westfalen,file:///storage/sdcard0/Memento/Regions Image/Germany - Nordrhein-Westfalen.png
Germany,Rheinland-Pfalz,file:///storage/sdcard0/Memento/Regions Image/Germany - Rheinland-Pfalz.png
Germany,Saarland,file:///storage/sdcard0/Memento/Regions Image/Germany - Saarland.png
Germany,Sachsen-Anhalt,file:///storage/sdcard0/Memento/Regions Image/Germany - Sachsen-Anhalt.png
Germany,Schleswig-Holstein,file:///storage/sdcard0/Memento/Regions Image/Germany - Schleswig-Holstein.png
Germany,Thüringen,file:///storage/sdcard0/Memento/Regions Image/Germany - Thüringen.png
Greece,Makedonia,file:///storage/sdcard0/Memento/Regions Image/Greece - Makedonia.png
Greece,Sterea Ellada,file:///storage/sdcard0/Memento/Regions Image/Greece - Sterea Ellada.png
Greece,Thraki,file:///storage/sdcard0/Memento/Regions Image/Greece - Thraki.png
Hungary,Bács-Kiskun,file:///storage/sdcard0/Memento/Regions Image/Hungary - Bács-Kiskun.png
Hungary,Békés,file:///storage/sdcard0/Memento/Regions Image/Hungary - Békés.png
Hungary,Baranya,file:///storage/sdcard0/Memento/Regions Image/Hungary - Baranya.png
Hungary,Borsod-Abaúj-Zemplén,file:///storage/sdcard0/Memento/Regions Image/Hungary - Borsod-Abaúj-Zemplén.png
Hungary,Budapest,file:///storage/sdcard0/Memento/Regions Image/Hungary - Budapest.png
Hungary,Gyor-Moson-Sopron,file:///storage/sdcard0/Memento/Regions Image/Hungary - Gyor-Moson-Sopron.png
Hungary,Pest,file:///storage/sdcard0/Memento/Regions Image/Hungary - Pest.png
Iceland,Norourland Eystra,file:///storage/sdcard0/Memento/Regions Image/Iceland - Norourland Eystra.png
India,Karnataka,file:///storage/sdcard0/Memento/Regions Image/India - Karnataka.png
Indonesia,Jakarta Raya,file:///storage/sdcard0/Memento/Regions Image/Indonesia - Jakarta Raya.png
Iran,Tehran,file:///storage/sdcard0/Memento/Regions Image/Iran - Tehran.png
Isle of Man,Middle,file:///storage/sdcard0/Memento/Regions Image/Isle of Man - Middle.png
Israel,HaMerkaz,file:///storage/sdcard0/Memento/Regions Image/Israel - HaMerkaz.png
Italy,Emilia-Romagna,file:///storage/sdcard0/Memento/Regions Image/Italy - Emilia-Romagna.png
Italy,Friuli-Venezia-Giulia,file:///storage/sdcard0/Memento/Regions Image/Italy - Friuli-Venezia-Giulia.png
Italy,Lazio,file:///storage/sdcard0/Memento/Regions Image/Italy - Lazio.png
Italy,Lombardy,file:///storage/sdcard0/Memento/Regions Image/Italy - Lombardy.png
Italy,Marche,file:///storage/sdcard0/Memento/Regions Image/Italy - Marche.png
Italy,Piedmont,file:///storage/sdcard0/Memento/Regions Image/Italy - Piedmont.png
Italy,Trentino-Alto,file:///storage/sdcard0/Memento/Regions Image/Italy - Trentino-Alto.png
Jamaica,Kingston,file:///storage/sdcard0/Memento/Regions Image/Jamaica - Kingston.png
Japan,Ibaraki,file:///storage/sdcard0/Memento/Regions Image/Japan - Ibaraki.png
Japan,Kanagawa,file:///storage/sdcard0/Memento/Regions Image/Japan - Kanagawa.png
Japan,Tokyo,file:///storage/sdcard0/Memento/Regions Image/Japan - Tokyo.png
Kazakhstan,Karagandy,file:///storage/sdcard0/Memento/Regions Image/Kazakhstan - Karagandy.png
Kenya,Nairobi,file:///storage/sdcard0/Memento/Regions Image/Kenya - Nairobi.png
Laos,Vientiane,file:///storage/sdcard0/Memento/Regions Image/Laos - Vientiane.png
Latvia,Cesis,file:///storage/sdcard0/Memento/Regions Image/Latvia - Cesis.png
Latvia,Riga,file:///storage/sdcard0/Memento/Regions Image/Latvia - Riga.png
Lebanon,Beirut,file:///storage/sdcard0/Memento/Regions Image/Lebanon - Beirut.png
Lithuania,Kaunas,file:///storage/sdcard0/Memento/Regions Image/Lithuania - Kaunas.png
Lithuania,Klaipeda,file:///storage/sdcard0/Memento/Regions Image/Lithuania - Klaipeda.png
Lithuania,Panevezys,file:///storage/sdcard0/Memento/Regions Image/Lithuania - Panevezys.png
Lithuania,Siauliai,file:///storage/sdcard0/Memento/Regions Image/Lithuania - Siauliai.png
Lithuania,Utena,file:///storage/sdcard0/Memento/Regions Image/Lithuania - Utena.png
Lithuania,Vilniaus,file:///storage/sdcard0/Memento/Regions Image/Lithuania - Vilniaus.png
Luxembourg,Diekirch,file:///storage/sdcard0/Memento/Regions Image/Luxembourg - Diekirch.png
